page_id,title,variance
455279,Друга_світова_війна,8612.037704918033
2615914,Друга_світова_війна,8612.037704918033
264229,Друга_світова_війна,8612.037704918035
1040176,RSS,8991.81256830601
2440736,RSS,8991.812568306013
46100,Київ,9140.203278688523
19305,Київ,9140.203278688527
1734701,Київ,9140.203278688527
312506,Київ,9140.203278688536
2632623,YouTube,9670.816393442623
2066412,YouTube,9670.816393442623
72755,Українська_абетка,9896.479234972678
2240515,Українська_абетка,9896.479234972678
1990983,Лохина,10890.582513661206
1760335,Львів,10920.721857923496
247054,Львів,10920.721857923498
130383,Львів,10920.721857923498
510409,Львів,10920.7218579235
591224,Львів,10920.7218579235
252283,Нормативно-правовий_акт,11833.209836065573
1316672,Нормативно-правовий_акт,11833.209836065576
1640119,Код_ЄДРПОУ,13324.24863387978
1678653,Війна_на_сході_України,13538.146448087431
1979431,Війна_на_сході_України,13538.146448087431
1750323,Війна_на_сході_України,13538.146448087433
2013145,Сенцов_Олег_Геннадійович,14313.793989071035
27362,Італія,14453.843169398904
1752184,Італія,14453.843169398908
132622,Італія,14453.84316939891
71484,Хрещення_Русі,17894.038797814213
2215446,С14,18810.013114754096
39680,Конституція_України,25151.379234972683
1295580,Чемпіонат_світу_з_футболу,26309.92076502732
2329001,Ніцой_Лариса_Миколаївна,29661.663387978144
2042635,Ніцой_Лариса_Миколаївна,29661.663387978144
490867,День_Конституції_України,32481.79453551913
14611,Україна,37025.438797814204
1314077,Україна,37025.438797814204
189692,Україна,37025.438797814204
1314080,Україна,37025.43879781421
288123,Україна,37025.43879781422
21472,Україна,37025.438797814226
319525,Волинська_трагедія,42171.75355191257
2706892,Дрогальчук_Дмитро_Сергійович,51590.50437158468
1378549,-,55391.32732240435
2124717,-,55391.32732240437
1035292,Свято_Купала,84656.92950819674
2693992,Втрати_силових_структур_внаслідок_російського_вторгнення_в_Україну_(з_квітня_2018),95361.02896174864
2694001,Втрати_силових_структур_внаслідок_російського_вторгнення_в_Україну_(з_квітня_2018),95361.02896174864
1753231,Хорватія,190426.06065573776
1005758,Хорватія,190426.06065573782
2749541,Чемпіонат_світу_з_футболу_2018,204678.58251366124
2658917,Куць_Олександр_Іванович,371654.1846994535
2745590,Куць_Олександр_Іванович,371654.1846994536
360593,Лук'яненко_Левко_Григорович,433142.1502732242
241335,Драч_Іван_Федорович,591562.3606557377
1611984,Кантер_Леонід_Віленович,836373.3765027322
2120189,М120-15_«Молот»,943028.6131147541
2031021,М120-15_«Молот»,943028.6131147543
10028,Головна_сторінка,1039116.4524590166
4,Головна_сторінка,1039116.452459017
32626,Історія_України,3231791.9273224045
24153,Історія_України,3231791.927322405
23043,Історія_України,3231791.9273224054
1109045,Універсал_(авто),4573254.187431694
2675346,GitLab,1.1576053446448091E7
